chart_rank,artist_names,track_name,source_of,peak_rank,previous_rank,days_on_chart,streams
1,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope Records,1,1,236,6045246
2,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,2,327,5406833
3,Alex Warren,Ordinary,Atlantic Records,2,3,61,4963110
4,"ROSÉ, Bruno Mars",APT.,Atlantic Records,1,4,173,4510266
5,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",2,6,138,4154103
6,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",3,5,173,3973720
7,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,6,9,234,3884547
8,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,8,94,3769765
9,Doechii,Anxiety,Top Dawg Entertainment/Capitol Records,2,7,35,3614248
10,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,WEA Latina,9,10,42,3468476
11,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,8,12,327,3456969
12,Lola Young,Messy,Universal-Island Records Ltd.,8,14,127,3369831
13,JENNIE,like JENNIE,OA Entertainment/Columbia,7,11,33,3354070
14,"Alemán, Neton Vega",Te Quería Ver,HOMEGROWN MAFIA S.A. DE C.V./Sony Music México-Latin,13,13,63,3288166
15,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,3,19,94,3194698
16,Sabrina Carpenter,Espresso,Island Records,1,21,362,3181367
17,Tate McRae,Sports car,RCA Records Label,14,20,75,3167604
18,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),XO / Republic Records,2,16,194,3167216
19,Drake,NOKIA,OVO Sound,15,15,54,3127229
20,Jimin,Who,BIGHIT MUSIC,1,18,264,3004480
21,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,17,446,2936018
22,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,23,338,2849937
23,Ariana Grande,twilight zone,Ariana Grande LP6,3,25,12,2849630
24,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,2,24,670,2838121
25,"WizTheMc, bees & honey",Show Me Love,Bamboo Artists,22,22,35,2788731
26,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,2,27,549,2656254
27,Bad Bunny,EoO,Rimas Entertainment LLC.,9,28,94,2620775
28,Lady Gaga,Abracadabra,Interscope Records,2,31,65,2524885
29,Lil Tecca,Dark Thoughts,Galactic / Republic Records,18,33,26,2488081
30,Teddy Swims,Lose Control,Warner Records,5,29,510,2472084
31,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,5,26,365,2471936
32,The Goo Goo Dolls,Iris,Warner Records,29,32,572,2439496
33,"Neton Vega, Peso Pluma",Morena,Josa Records,25,30,53,2434706
34,NIKI,You'll Be in My Heart - Spotify Singles,88rising Music,34,34,17,2407564
35,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,18,36,235,2390577
36,sombr,back to friends,Warner Records,36,37,22,2390280
37,The Marías,No One Noticed,Nice Life/Atlantic,37,44,151,2383104
38,Lord Huron,The Night We Met,IAMSOUND,15,39,981,2380999
39,"Alleh, Yorghaki",capaz (merengueton),CONMUER LLC,34,43,108,2361675
40,yung kai,blue,BMG Rights Management (US) LLC,22,40,129,2353976
41,Sabrina Carpenter,Taste,Island Records,2,35,229,2328723
42,Cup of Joe,Multo,Viva Records,42,58,4,2307216
43,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,5,47,94,2263088
44,Coldplay,Yellow,Parlophone UK,15,63,1559,2259646
45,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,11,38,1007,2240048
46,Neton Vega,Loco,Josa Records,14,56,103,2214512
47,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,4,41,292,2212505
48,"Jombriel, DFZM, Jøtta",VITAMINA,WEA Latina,39,42,33,2212167
49,The Police,Every Breath You Take,Polydor Records,34,49,1273,2192072
50,The Neighbourhood,Sweater Weather,Columbia,14,53,1688,2175692
51,"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),"pgLang, under exclusive license to Interscope Records",5,46,138,2166320
52,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,7,52,94,2151947
53,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,8,50,94,2137613
54,"Fuerza Regida, Grupo Frontera",ME JALO,Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin,38,45,103,2108168
55,Neton Vega,M&M,Josa Records,54,54,47,2068662
56,Ed Sheeran,Azizam,Gingerbread Man Records / Atlantic Records UK,27,65,5,2056936
57,Ariana Grande,we can't be friends (wait for your love),Republic Records,1,51,397,2053959
58,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,2,55,422,2026838
59,Sabrina Carpenter,Busy Woman,Island Records,11,64,54,1989630
60,j-hope,MONA LISA,BIGHIT MUSIC,12,59,19,1986732
61,d4vd,Feel It - From “Invincible”,Darkroom/Interscope Records,57,57,70,1978690
62,Teddy Swims,Bad Dreams,Warner Records,41,62,157,1976903
63,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,13,61,766,1963237
64,Tito Double P,TATTOO,Double P Records,21,48,40,1951781
65,Coldplay,Viva La Vida,Parlophone UK,27,79,955,1950344
66,Arctic Monkeys,505,Domino/Warner Records,40,67,1192,1927609
67,Sabrina Carpenter,Please Please Please,Island Records,1,69,306,1925753
68,Fuerza Regida,Por Esos Ojos,Rancho Humilde/Street Mob Records/Sony Music Latin,34,60,56,1900709
69,ATLXS,PASSO BEM SOLTO - Slowed,broke,69,76,13,1850906
70,Tate McRae,Revolving door,RCA Records Label,18,73,47,1849568
71,Hozier,Too Sweet,Columbia,2,71,383,1843595
72,Bruno Mars,Just the Way You Are,Atlantic Records,27,66,822,1837376
73,"Playboi Carti, The Weeknd",RATHER LIE (with The Weeknd),AWGE/Interscope Records,3,75,26,1830600
74,"Beéle, Ovy On The Drums",mi refe,5020 Records,52,74,97,1829613
75,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,84,634,1792769
76,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",15,80,253,1780105
77,Imogen Heap,Headlock,Megaphonic,63,82,96,1774351
78,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,13,77,145,1772122
